Index,Attribute,Frequency
0,Female,0.453360
1,AgeOver60,0.014690
2,Age18-60,0.928440
3,AgeLess18,0.056870
4,Front,0.347070
5,Side,0.305080
6,Back,0.347850
7,Hat,0.042060
8,Glasses,0.186620
9,HandBag,0.181150
10,ShoulderBag,0.193010
11,Backpack,0.159260
12,HoldObjectsInFront,0.009580
13,ShortSleeve,0.569130
14,LongSleeve,0.430870
15,UpperStride,0.050880
16,UpperLogo,0.148350
17,UpperPlaid,0.109170
18,UpperSplice,0.042190
19,LowerStripe,0.004500
20,LowerPattern,0.016390
21,LongCoat,0.033650
22,Trousers,0.719160
23,Shorts,0.168960
24,Skirt&Dress,0.111550
25,boots,0.005950
